Month,Oil,Gas
Jan-07,"27,000","1,298,431"
Feb-07,"27,000","1,310,307"
Mar-07,"29,000","1,318,131"
Apr-07,"28,000","1,357,188"
May-07,"28,000","1,374,117"
Jun-07,"28,000","1,390,415"
Jul-07,"27,000","1,394,904"
Aug-07,"27,000","1,405,842"
Sep-07,"27,000","1,446,261"
Oct-07,"27,000","1,452,382"
Nov-07,"27,000","1,470,526"
Dec-07,"27,000","1,463,637"
Jan-08,"27,000","1,459,556"
Feb-08,"28,000","1,486,364"
Mar-08,"29,000","1,490,493"
Apr-08,"29,000","1,498,782"
May-08,"28,000","1,506,188"
Jun-08,"28,000","1,541,170"
Jul-08,"27,000","1,558,338"
Aug-08,"28,000","1,578,577"
Sep-08,"28,000","1,570,747"
Oct-08,"28,000","1,633,749"
Nov-08,"27,000","1,654,262"
Dec-08,"27,000","1,653,984"
Jan-09,"24,000","1,541,836"
Feb-09,"24,000","1,583,714"
Mar-09,"27,000","1,607,402"
Apr-09,"25,000","1,644,006"
May-09,"24,000","1,665,289"
Jun-09,"27,000","1,695,643"
Jul-09,"24,000","1,893,618"
Aug-09,"25,000","1,896,468"
Sep-09,"26,000","1,912,575"
Oct-09,"24,000","1,909,839"
Nov-09,"24,000","1,924,452"
Dec-09,"26,000","1,900,377"
Jan-10,"26,000","1,900,803"
Feb-10,"26,000","2,031,823"
Mar-10,"27,000","2,149,410"
Apr-10,"27,000","2,245,632"
May-10,"27,000","2,409,260"
Jun-10,"28,000","2,524,767"
Jul-10,"27,000","2,633,468"
Aug-10,"27,000","2,777,484"
Sep-10,"27,000","2,990,808"
Oct-10,"27,000","3,259,881"
Nov-10,"27,000","3,407,891"
Dec-10,"27,000","3,506,867"
Jan-11,"28,000","3,448,636"
Feb-11,"28,000","3,752,066"
Mar-11,"29,000","4,034,098"
Apr-11,"29,000","4,269,627"
May-11,"29,000","4,496,429"
Jun-11,"29,000","4,743,609"
Jul-11,"28,000","4,532,595"
Aug-11,"30,000","4,840,476"
Sep-11,"28,000","5,171,623"
Oct-11,"28,000","5,557,754"
Nov-11,"28,000","5,901,943"
Dec-11,"28,000","6,194,063"
Jan-12,"31,000","6,041,043"
Feb-12,"32,000","6,419,382"
Mar-12,"32,000","6,766,316"
Apr-12,"32,000","7,152,491"
May-12,"32,000","7,551,639"
Jun-12,"32,000","7,761,235"
Jul-12,"33,000","7,569,614"
Aug-12,"34,000","7,939,012"
Sep-12,"33,000","8,248,377"
Oct-12,"34,000","8,828,226"
Nov-12,"36,000","9,112,148"
Dec-12,"36,000","9,391,784"
Jan-13,"40,000","9,278,787"
Feb-13,"42,000","9,522,336"
Mar-13,"44,000","9,991,124"
Apr-13,"46,000","10,467,545"
May-13,"50,000","11,090,385"
Jun-13,"54,000","11,578,479"
Jul-13,"67,000","11,281,727"
Aug-13,"67,000","11,716,410"
Sep-13,"64,000","12,121,517"
Oct-13,"65,000","12,706,948"
Nov-13,"68,000","13,439,579"
Dec-13,"68,000","13,796,789"
Jan-14,"73,000","13,664,008"
Feb-14,"75,000","14,038,886"
Mar-14,"75,000","14,440,272"
Apr-14,"78,000","14,995,510"
May-14,"80,000","15,586,509"
Jun-14,"80,000","16,163,101"
Jul-14,"89,000","15,370,498"
Aug-14,"92,000","15,907,260"
Sep-14,"97,000","16,594,125"
Oct-14,"103,000","17,319,409"
Nov-14,"107,000","18,103,367"
Dec-14,"108,000","18,876,196"
Jan-15,"110,000","18,841,634"
Feb-15,"115,000","18,973,061"
Mar-15,"115,000","19,264,241"
Apr-15,"131,000","19,253,110"
May-15,"131,000","19,058,785"
Jun-15,"131,000","18,998,033"
Jul-15,"130,000","19,310,747"
Aug-15,"127,000","19,811,976"
Sep-15,"125,000","20,004,645"
Oct-15,"128,000","19,896,584"
Nov-15,"125,000","20,400,033"
Dec-15,"130,000","21,044,442"
Jan-16,"109,000","21,837,746"
Feb-16,"108,000","22,412,627"
Mar-16,"107,000","22,016,841"
Apr-16,"102,000","21,847,461"
May-16,"102,000","21,868,815"
Jun-16,"100,000","21,923,086"
Jul-16,"93,000","22,081,966"
Aug-16,"93,000","22,391,821"
Sep-16,"91,000","22,035,439"
Oct-16,"85,000","21,385,045"
Nov-16,"87,000","22,521,322"
Dec-16,"86,000","23,051,432"
Jan-17,"92,000","23,235,761"
Feb-17,"92,000","23,297,009"
Mar-17,"91,000","23,407,358"
Apr-17,"92,000","23,452,210"
May-17,"93,000","23,605,011"
Jun-17,"93,000","23,966,645"
Jul-17,"99,000","24,321,145"
Aug-17,"99,000","24,436,170"
Sep-17,"98,000","24,861,317"
Oct-17,"103,000","24,560,177"
Nov-17,"105,000","26,354,535"
Dec-17,"102,000","27,113,774"
Jan-18,"99,000","26,725,285"
Feb-18,"99,000","27,246,602"
Mar-18,"100,000","27,279,533"
Apr-18,"106,000","27,027,143"
May-18,"105,000","27,288,318"
Jun-18,"106,000","27,759,535"
Jul-18,"119,000","28,282,349"
