Date,Permian_Oil_Prod,Permian_Gas_Prod,Appalachia_Oil_Prod,Appalachia_Gas_Prod,Haynesville_Oil_Prod,Haynesville_Gas_Prod,WTI_Price,HH_Price,Permian_Regional_Storage,Bottleneck_Proxy,Target_Next_Month
2010-01-01,886345,4410393,26000,1900803,52393,5786073,78.33,5.83,846.4,5210.7667769376185,7082.758185404339
2010-02-01,906956,4488698,26000,2031823,53500,6079496,76.39,5.32,633.75,7082.758185404339,7987.97310623039
2010-03-01,907558,4455292,27000,2149410,55294,6494853,81.2,4.29,557.75,7987.97310623039,6588.358891182542
2010-04-01,901779,4468225,27000,2245632,53467,6586900,84.29,4.03,678.2,6588.358891182542,5541.398886827458
2010-05-01,910781,4480221,27000,2409260,52752,6789456,73.74,4.14,808.5,5541.398886827458,4855.701194112747
2010-06-01,904150,4371345,28000,2524767,51038,7154070,75.34,4.8,900.25,4855.701194112747,4583.277951933124
2010-07-01,917958,4386197,27000,2633468,49942,7385671,76.32,4.63,957.0,4583.277951933124,4673.216831948539
2010-08-01,923845,4358943,27000,2777484,50178,7608398,76.6,4.32,932.75,4673.216831948539,4384.630143903055
2010-09-01,931252,4341880,27000,2990808,49775,7775895,75.24,3.89,990.25,4384.630143903055,3882.5017755681815
2010-10-01,950555,4373250,27000,3259881,49975,7856177,81.89,3.43,1126.4,3882.5017755681815,3604.0429485855875
2010-11-01,964631,4363595,27000,3407891,51316,8227569,84.25,3.71,1210.75,3604.0429485855875,3859.713421146316
2010-12-01,972589,4336774,27000,3506867,51555,8526585,89.15,4.25,1123.6,3859.713421146316,4614.899022801303
2011-01-01,979778,4250322,28000,3448636,50641,8652410,89.17,4.49,921.0,4614.899022801303,5549.067919075144
2011-02-01,902912,3839955,28000,3752066,50637,8783524,88.58,4.09,692.0,5549.067919075144,6308.119229371137
2011-03-01,992353,4338409,29000,4034098,51321,9366108,102.86,3.97,687.75,6308.119229371137,5624.710106382979
2011-04-01,989373,4229782,29000,4269627,49882,9591125,109.53,4.24,752.0,5624.710106382979,5044.6254758418745
2011-05-01,1000520,4306849,29000,4496429,50659,9886386,100.9,4.31,853.75,5044.6254758418745,4666.958355868037
2011-06-01,1001905,4314603,29000,4743609,48603,9758165,96.26,4.54,924.5,4666.958355868037,4497.286249219887
2011-07-01,1010371,4323691,28000,4532595,47824,9885841,97.3,4.42,961.4,4497.286249219887,4596.235547190105
2011-08-01,1029592,4273350,30000,4840476,47089,10141055,86.33,4.06,929.75,4596.235547190105,4367.556168300654
2011-09-01,1041809,4276711,28000,5171623,47006,10380316,85.52,3.9,979.2,4367.556168300654,3760.903425414365
2011-10-01,1064929,4254522,28000,5557754,47892,10396565,86.32,3.57,1131.25,3760.903425414365,3552.4065007200165
2011-11-01,1096429,4317062,28000,5901943,50272,10547997,97.16,3.24,1215.25,3552.4065007200165,3578.0762754672505
2011-12-01,1096220,4250039,28000,6194063,54549,10418108,98.56,3.17,1187.8,3578.0762754672505,3862.218517684163
2012-01-01,1111037,4286097,31000,6041043,52665,10295306,100.27,2.67,1109.75,3862.218517684163,4318.387729444305
2012-02-01,1126110,4293557,32000,6419382,53077,9913611,102.2,2.51,994.25,4318.387729444305,4509.599375650364
2012-03-01,1137442,4333725,32000,6766316,52672,9812703,106.16,2.17,961.0,4509.599375650364,4367.641612742658
2012-04-01,1154851,4387296,32000,7152491,52483,9809661,103.32,1.95,1004.5,4367.641612742658,4213.066208925944
