Month,Oil,Gas
Jan-07,"842,782","4,602,747"
Feb-07,"857,277","4,707,080"
Mar-07,"851,890","4,763,665"
Apr-07,"853,048","4,800,025"
May-07,"843,382","4,819,842"
Jun-07,"833,922","4,767,549"
Jul-07,"842,378","4,844,470"
Aug-07,"843,453","4,835,356"
Sep-07,"844,840","4,751,441"
Oct-07,"849,732","4,720,302"
Nov-07,"857,209","4,727,600"
Dec-07,"862,094","4,696,377"
Jan-08,"862,323","4,676,649"
Feb-08,"870,526","4,846,487"
Mar-08,"871,707","4,798,860"
Apr-08,"867,197","4,797,895"
May-08,"864,488","4,829,732"
Jun-08,"856,998","4,743,991"
Jul-08,"873,937","4,827,881"
Aug-08,"875,581","4,820,317"
Sep-08,"853,335","4,249,991"
Oct-08,"890,838","4,750,375"
Nov-08,"903,952","4,786,244"
Dec-08,"902,209","4,846,354"
Jan-09,"901,732","4,844,025"
Feb-09,"904,309","4,794,801"
Mar-09,"899,868","4,711,330"
Apr-09,"885,656","4,633,152"
May-09,"876,291","4,698,620"
Jun-09,"862,295","4,680,097"
Jul-09,"854,919","4,561,456"
Aug-09,"862,185","4,548,819"
Sep-09,"871,744","4,548,905"
Oct-09,"876,772","4,504,286"
Nov-09,"888,711","4,560,219"
Dec-09,"876,980","4,378,783"
Jan-10,"886,345","4,410,393"
Feb-10,"906,956","4,488,698"
Mar-10,"907,558","4,455,292"
Apr-10,"901,779","4,468,225"
May-10,"910,781","4,480,221"
Jun-10,"904,150","4,371,345"
Jul-10,"917,958","4,386,197"
Aug-10,"923,845","4,358,943"
Sep-10,"931,252","4,341,880"
Oct-10,"950,555","4,373,250"
Nov-10,"964,631","4,363,595"
Dec-10,"972,589","4,336,774"
Jan-11,"979,778","4,250,322"
Feb-11,"902,912","3,839,955"
Mar-11,"992,353","4,338,409"
Apr-11,"989,373","4,229,782"
May-11,"1,000,520","4,306,849"
Jun-11,"1,001,905","4,314,603"
Jul-11,"1,010,371","4,323,691"
Aug-11,"1,029,592","4,273,350"
Sep-11,"1,041,809","4,276,711"
Oct-11,"1,064,929","4,254,522"
Nov-11,"1,096,429","4,317,062"
Dec-11,"1,096,220","4,250,039"
Jan-12,"1,111,037","4,286,097"
Feb-12,"1,126,110","4,293,557"
Mar-12,"1,137,442","4,333,725"
Apr-12,"1,154,851","4,387,296"
May-12,"1,161,690","4,295,221"
Jun-12,"1,170,282","4,320,232"
Jul-12,"1,195,229","4,466,591"
Aug-12,"1,204,626","4,482,095"
Sep-12,"1,228,303","4,501,054"
Oct-12,"1,249,632","4,556,124"
Nov-12,"1,273,037","4,617,412"
Dec-12,"1,266,061","4,546,009"
Jan-13,"1,267,581","4,454,336"
Feb-13,"1,291,088","4,613,162"
Mar-13,"1,291,849","4,558,788"
Apr-13,"1,329,969","4,824,591"
May-13,"1,344,700","4,772,838"
Jun-13,"1,342,281","4,858,737"
Jul-13,"1,363,842","4,878,557"
Aug-13,"1,379,923","4,953,247"
Sep-13,"1,409,301","5,020,165"
Oct-13,"1,432,233","5,059,304"
Nov-13,"1,407,258","4,900,231"
Dec-13,"1,444,391","4,893,130"
Jan-14,"1,482,810","5,076,559"
Feb-14,"1,512,477","5,134,303"
Mar-14,"1,547,344","5,366,811"
Apr-14,"1,570,126","5,464,079"
May-14,"1,585,257","5,543,510"
Jun-14,"1,590,457","5,660,901"
Jul-14,"1,640,090","5,775,384"
Aug-14,"1,679,210","5,934,100"
Sep-14,"1,666,983","5,749,213"
Oct-14,"1,740,954","5,946,831"
Nov-14,"1,795,478","5,975,312"
Dec-14,"1,804,452","6,038,530"
Jan-15,"1,701,349","5,517,838"
Feb-15,"1,815,179","6,021,655"
Mar-15,"1,891,545","6,223,901"
Apr-15,"1,917,905","6,453,592"
May-15,"1,910,883","6,555,324"
Jun-15,"1,900,678","6,736,026"
Jul-15,"1,875,182","6,625,765"
Aug-15,"1,915,387","6,810,384"
Sep-15,"1,937,719","6,860,344"
Oct-15,"1,927,285","6,750,814"
Nov-15,"1,966,419","6,839,820"
Dec-15,"1,852,873","6,327,163"
Jan-16,"1,932,943","6,377,512"
Feb-16,"1,972,166","6,659,487"
Mar-16,"1,986,606","6,784,589"
Apr-16,"1,991,898","6,866,381"
May-16,"1,991,369","6,919,453"
Jun-16,"2,001,833","7,067,000"
Jul-16,"2,035,067","7,209,047"
Aug-16,"2,054,942","7,304,144"
Sep-16,"2,044,607","7,284,473"
Oct-16,"2,095,148","7,327,972"
Nov-16,"2,116,727","7,322,070"
Dec-16,"2,121,079","7,150,989"
Jan-17,"2,149,541","7,259,851"
Feb-17,"2,254,689","7,654,090"
Mar-17,"2,274,596","7,767,610"
Apr-17,"2,301,838","7,886,988"
May-17,"2,394,506","8,245,389"
Jun-17,"2,416,666","8,249,857"
Jul-17,"2,449,439","8,492,882"
Aug-17,"2,496,166","8,565,593"
Sep-17,"2,600,673","8,749,884"
Oct-17,"2,739,795","9,137,926"
Nov-17,"2,832,660","9,323,017"
Dec-17,"2,887,347","9,231,199"
Jan-18,"2,884,004","9,050,555"
Feb-18,"3,054,122","9,757,768"
Mar-18,"3,213,639","10,211,959"
Apr-18,"3,272,595","10,489,411"
May-18,"3,290,946","10,719,475"
Jun-18,"3,401,605","11,016,026"
Jul-18,"3,481,474","11,420,792"
Aug-18,"3,665,024","11,928,708"
Sep-18,"3,752,873","12,126,346"
Oct-18,"3,864,540","12,211,233"
Nov-18,"3,943,310","12,480,586"
Dec-18,"4,001,725","12,977,745"
Jan-19,"3,978,061","13,057,167"
Feb-19,"4,063,956","13,513,815"
Mar-19,"4,106,158","13,675,244"
Apr-19,"4,189,144","13,642,906"
May-19,"4,265,974","14,060,532"
Jun-19,"4,283,339","14,296,680"
Jul-19,"4,346,901","14,572,577"
Aug-19,"4,468,903","15,228,233"
Sep-19,"4,553,607","15,746,359"
Oct-19,"4,637,986","15,865,988"
Nov-19,"4,768,062","16,268,832"
Dec-19,"4,801,409","16,403,566"
Jan-20,"4,837,214","16,622,236"
